Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Line
FY23-24,19993,North Williamstown,-37.85733348,144.8890695,260900,Williamstown
FY23-24,19994,Newport,-37.84271757,144.8835999,1231700,"Werribee, Williamstown"
FY23-24,19995,Spotswood,-37.83063888,144.8859335,294100,"Werribee, Williamstown"
FY23-24,19996,Yarraville,-37.81585044,144.8899337,794400,"Werribee, Williamstown"
FY23-24,19997,Seddon,-37.80900514,144.8956716,381350,"Werribee, Williamstown"
FY23-24,15351,Sunbury,-37.57909097,144.7273188,690850,Sunbury
FY23-24,15353,Diggers Rest,-37.62701651,144.7199224,173850,Sunbury
FY23-24,20000,Watergardens,-37.70112872,144.7741805,1258850,Sunbury
FY23-24,20001,Keilor Plains,-37.72927934,144.7937381,614000,Sunbury
FY23-24,20002,St Albans,-37.74486131,144.8000505,1022200,Sunbury
FY23-24,20003,Ginifer,-37.75751083,144.8095734,650350,Sunbury
FY23-24,20004,Albion,-37.77765281,144.8247036,433100,Sunbury
FY23-24,20005,Epping,-37.65238715,145.0301217,725350,Mernda
FY23-24,20006,Lalor,-37.66585075,145.0171932,446900,Mernda
FY23-24,20007,Thomastown,-37.68033809,145.0142789,635600,Mernda
FY23-24,20008,Keon Park,-37.69487012,145.0118838,133550,Mernda
FY23-24,20009,Ruthven,-37.70789754,145.0095166,302050,Mernda
FY23-24,20010,Reservoir,-37.71688492,145.0069958,852650,Mernda
FY23-24,20011,Regent,-37.72840277,145.0027726,369000,Mernda
FY23-24,20012,Preston,-37.73867424,145.000522,568750,Mernda
FY23-24,20013,Bell,-37.74556212,145.000155,385100,Mernda
FY23-24,20014,Thornbury,-37.75505179,144.9985715,372350,Mernda
FY23-24,20015,Croxton,-37.764101,144.9970562,228050,Mernda
FY23-24,20016,Northcote,-37.76986537,144.9952772,278000,Mernda
FY23-24,20017,Merri,-37.77784668,144.9929725,146100,Mernda
FY23-24,20019,Rushall,-37.78321711,144.9924071,119850,Mernda
FY23-24,20021,Sunshine,-37.78853633,144.8328782,1830400,Sunbury
FY23-24,20022,Tottenham,-37.7992509,144.8629449,422000,Sunbury
FY23-24,20023,West Footscray,-37.8018087,144.8853248,522700,Sunbury
FY23-24,20024,Middle Footscray,-37.8025047,144.8914721,201800,Sunbury
FY23-24,20025,Footscray,-37.80108298,144.9031992,4365800,"Sunbury, Werribee, Williamstown"
FY23-24,20026,South Kensington,-37.79953087,144.925469,304650,Sunbury
FY23-24,20027,Flemington Racecourse,-37.78720192,144.9075887,134250,Special Events
FY23-24,20030,Broadmeadows,-37.68304926,144.9196132,874950,Craigieburn
FY23-24,20031,Jacana,-37.69513079,144.9158505,215600,Craigieburn
FY23-24,20032,Glenroy,-37.70453633,144.9172204,758850,Craigieburn
FY23-24,20033,Oak Park,-37.71794973,144.9215188,437000,Craigieburn
FY23-24,20034,Pascoe Vale,-37.73075596,144.9281956,530800,Craigieburn
FY23-24,20035,Strathmore,-37.74359132,144.9273157,299900,Craigieburn
FY23-24,20036,Glenbervie,-37.74720985,144.9209387,263100,Craigieburn
FY23-24,20037,Essendon,-37.7560117,144.9161975,1312800,Craigieburn
FY23-24,20038,Moonee Ponds,-37.76570666,144.9191607,759550,Craigieburn
FY23-24,20039,Ascot Vale,-37.77530609,144.9218207,474300,Craigieburn
FY23-24,20040,Newmarket,-37.78732767,144.9289785,598050,Craigieburn
FY23-24,20041,Kensington,-37.79378022,144.9305244,435300,Craigieburn
FY23-24,20042,Box Hill,-37.81922165,145.1214289,2535000,"Belgrave, Lilydale"
FY23-24,40220,Roxburgh Park,-37.63823121,144.9354037,512350,Craigieburn
FY23-24,40221,Craigieburn,-37.6018169,144.9433203,1418700,Craigieburn
FY23-24,44817,Coolaroo,-37.66100253,144.9260556,253750,Craigieburn
FY23-24,45793,Lynbrook,-38.05734118,145.2492751,393250,Cranbourne
FY23-24,45794,Cardinia Road,-38.07129047,145.437791,360500,Pakenham
FY23-24,45795,South Morang,-37.6491588,145.0670324,534400,Mernda
FY23-24,46468,Williams Landing,-37.86986533,144.7474447,1359750,Werribee
FY23-24,49343,Union,-37.823477,145.1000368,512800,"Belgrave, Lilydale"
FY23-24,52095,Southland,-37.958758,145.049124,432800,Frankston
FY23-24,52159,Middle Gorge,-37.644062,145.09214,203450,Mernda
FY23-24,52160,Hawkstowe,-37.622992,145.097396,184850,Mernda
FY23-24,52161,Mernda,-37.602549,145.100883,710550,Mernda
FY23-24,19841,Flagstaff,-37.81198131,144.9556538,3435300,City Loop
FY23-24,19842,Melbourne Central,-37.80993877,144.9625935,11176650,City Loop
FY23-24,19843,Parliament,-37.81105406,144.9729109,5862900,City Loop
FY23-24,19854,Flinders Street,-37.81830513,144.9669643,20345200,City Loop
FY23-24,19908,Richmond,-37.82407446,144.9901643,3722400,"Alamein, Belgrave, Craigieburn, Cranbourne, Frankston, Glen Waverley, Hurstbridge, Lilydale, Mernda, Pakenham, Sandringham, Sunbury, Upfield, Werribee"
FY23-24,19973,North Melbourne,-37.80630984,144.9415102,1220400,"Craigieburn, Sunbury, Upfield"
FY23-24,19979,Jolimont,-37.81652702,144.9840983,1027200,"Hurstbridge, Mernda"
FY23-24,22180,Southern Cross,-37.81793643,144.9514112,14019450,City Loop
FY23-24,19827,Stony Point,-38.37423454,145.2218375,6700,Stony Point
FY23-24,19828,Crib Point,-38.36612338,145.2040433,7150,Stony Point
FY23-24,19830,Bittern,-38.33739032,145.1780265,7850,Stony Point
FY23-24,19836,Leawarra,-38.152034,145.139534,5150,Stony Point
FY23-24,20028,Showgrounds,-37.7835,144.915,138000,Special Events
FY23-24,19834,Baxter,-38.19404306,145.1605261,2550,Stony Point
FY23-24,19942,Glenhuntly,-37.88971946,145.0422229,524650,Frankston
FY23-24,49458,East Pakenham,-38.084284,145.506311,3700,Pakenham
